en;nl;fr;de;sv;pl;it;no;es
Notes;Notities;Remarques;Notizen;Anmärkningar;Notatki;Note;Notater;Notas
Continue;Doorgaan;Continuer;Weiter;Fortsätt;Kontynuuj;Continua;Fortsette;Continuar
Address;Adres;Adresse;Adresse;Adress;Adres;Indirizzo;Adresse;Dirección
Categories;Categorieën;Catégories;Kategorien;Kategorier;Kategorie;Categorie;Kategorier;Categorías
City;Woonplaats;Ville;Wohnort;Stad;Miasto;Città;By;Ciudad
Close;Sluiten;Fermer;Schließen;Stäng;Zamknij;Chiudi;Lukk;Cerca
Centimeter;Centimeter;Centimètre;Zentimeter;Centimeter;Centrymetr;Centimetro;Centimeter;Centímetros
Configure;Configureren;Configurer;Konfigurieren;Konfigurera;Konfiguruj;Configura;Konfigurere;Configurar
Cubic Meter;Kubieke meter;Mètre cubique;Kubikmeter;Kubikmeter;Metry kwadratowe;Metro cubo;Kubikkmeter;Metro cúbico
Degrees;Graden;Dégras;Grad;Grader;Stopnie;Gradi;Grader;Grados
Hour;Uur;Heure;Stunde;Timme;Godzina;Ora;Time;Hora
Liter;Liter;Litre;Liter;Liter;Litr;Litro;Liter;Litro
Meter;Meter;Mètre;Meter;Meter;Metr;Metro;Meter;Metro
Millimeter;Millimeter;Millimètre;Millimeter;Millimeter;Milimetr;Millimetro;Millimeter;Milímetro
First name;Voornaam;Prénom;Vorname;Förnamn;Imię;Nome;Fornavn;Nombre de pila
House number;Huisnummer;Numéro de la maison;Hausnummer;Husnummer;Numer domu;Numero civico;Husnummer;número de casa
Last name;Achternaam;Nom de famille;Nachname;Efternamn;Nazwisko;Cognome;Etternavn;Apellido
Ms;Mevr.;Madame;Frau;;Pani;Signora;Ms;Sra.
Mobile phone number;Mobiel nummer;Numéro de téléphone mobile;Handynummer;Mobiltelefonnummer;Numer telefonu komórkowego;Numero di cellulare;Mobilnummer;Número de teléfono móvil
More Info;Meer Info;Plus d'informations;Mehr Informationen;Mer information;Więcej informacji;Ulteriori informazioni;Mer info;Más información
Pieces;Stuks;Pièces;Stück;Stycken;Sztuki;Pezzi;Stykker;Piezas
Product name;Product naam;Nom du produit;Produktname;Produktnamn;Nazwa produktu;Nome del prodotto;Produktnavn;Nombre del producto
Quantity;Aantal;Numéro;Anzahl;Kvantitet;Ilość;Quantità;Kvantitet;Cantidad
Square meter;Vierkante meter;Mètre carré;Quadratmeter;Kvadratmeter;Metr kwadratowy;Metro quadrato;Kvadratmeter;Metro cuadrado
Phone number;Telefoonnummer;Numéro de téléphone;Telefonnummer;Telefonnummer;Numer telefonu;Numero di telefono;Telefonnummer;Número de teléfono
Zip code;Postcode;Code postal;Postleitzahl;Postnummer;Kod pocztowy;Codice postale;Postnummer;Código Postal
Remarks;Opmerkingen;Remarques;Notizen;Anmärkningar;Uwagi;Osservazioni;Merknader;Observaciones
Request quote;Offerte aanvragen;Devis requise;Angebot anfragen;Begäran om offert;Poproś o ofertę;Richiedi un preventivo;Be om tilbud;Solicitar presupuesto
Mr;De heer;Monsieur;Herr;Mr;Pan;Signor;Herr;Sr.
Starting price*;Prijs vanaf*;prix de départ*;Einstiegspreis*;Utgångspris*;Cena wyściowa*;Prezzo di partenza*;Startpris*;Precio inicial*
Starting price;Prijs vanaf*;du prix;Einstiegspreis;Utgångspris;Cena wyściowa*;Prezzo di partenza;Startpris;Precio inicial
Total price*;Totaal*;Prix total*;Gesamtpreis*;Totalt pris*;Cena całkowita*;Prezzo totale*;Totalpris*;Precio total*
Base price*;Basisprijs*;Prix de base*;Grundpreis*;Grundpris*;Cena podstawowa*;Prezzo base*;Grunnpris*;Precio base*
Additional options*;Toegevoegde opties*;Options additionnelles*;Zusatzoptionen*;Ytterligare tillval*;Dodatkowe opcje*;Opzioni aggiuntive*;Flere alternativer*;Opciones adicionales*
Share;Delen;Partager;Teilen;Aktie;Udostępnij;Condividi;Dele;Compartir
Your personal configuration code;Jouw persoonlijke configuratie code;Votre code de configuration personnel;Ihr persönlicher Konfigurationscode;Din personliga konfigurationskod;Twój osobisty kod konfiguracji;Il tuo codice di configurazione personale;Din personlige konfigurasjonskode;Su código de configuración personal
Your:;Jouw:;Votre:;Ihr:;Din:;Twój:;Tuo:;Din:;Tu:
Back to Configuration;Terug naar configuratie;Retour Ã  la configuration;Zuruck zur Konfiguration;Tillbaka till konfigurationen;Wróć do Konfiguracji;Torna alla configurazione;Tilbake til konfigurasjon;Volver a Configuración
Accept changes;Wijzigingen accepteren;Accepter les modifications;Änderungen übernehmen;Acceptera ändringar;Zaakceptuj zmiany;Accetta modifiche;Godta endringer;Aceptar cambios
d;d;j;Tg.;d;d;g;d;d
Days;Dagen;Journées;Tage;Dagar;Dni;Giorni;Dager;Días
j;j;a;J.;j;r;a;j;j
