en;nl;fr;de;sv;pl;no;es;it;pt
State;Provincie;Région;Bundesland;Land;Kraj;Land;Estado;Stato;Estado
Archive quotations after publishing;Offertes archiveren na publicatie;Archiver les devis après leur publication;Angebot nach Veröffentlichung archivieren;Arkivera offerter efter offentliggörandet.;Archiwizuj ofertę po opublikowaniu;Tilbudet arkiveres etter publisering;Archivar citas después de publicar;Archiviare le citazioni dopo la pubblicazione;Arquivar cita��es ap�s a publica��o
Quotations that are created with a previous published version will get the status 'Archived' and can no longer be edited.;Offertes die zijn gemaakt met een eerder gepubliceerde versie krijgen de status 'Gearchiveerd' en kunnen niet meer worden bewerkt.;"Les offres créées à partir d'une version publiée précédente obtiennent le statut """"Archivé"""" et ne peuvent plus être modifiées.";Angebote die erstellt wurden mit einer ehemals veröffentlichten Version, erhalten den Status „Archiviert“ und können nicht mehr bearbeitet werden.;"Tidigare offentliggjorda offerter kommer att få statusen """"Arkiverad"""" och kan inte längre redigeras.";Oferty utworzone za pomocą poprzedniej wersji otrzymają status „Zarchiwizowane” i nie będzie można ich już edytować.;Tilbud som er opprettet med en tidligere publisert versjon vil få statusen 'Arkivert' og kan ikke lenger redigeres.;Las cotizaciones que se crean con una versión publicada anterior obtendrán el estado 'Archivado' y ya no se podrán editar.;"Le citazioni create con una versione precedentemente pubblicata avranno lo stato ""Archiviato"" e non potranno più essere modificate.";As cita��es criadas com uma vers�o publicada anteriormente receber�o o status 'Arquivadas' e n�o poder�o mais ser editadas.
Note: copying and revising archived quotations may cause broken configurations. Please use the configuration code if you want to use the same configuration that is placed in an archived quotation.;Opmerking: het kopiëren en herzien van gearchiveerde offertes kan leiden tot defecte configuraties. Gebruik de configuratiecode als u dezelfde configuratie wilt gebruiken die in een gearchiveerde offerte is geplaatst.;Remarque : la copie et la révision des devis archivées peuvent entraîner la rupture des configurations. Veuillez utiliser le code de configuration si vous souhaitez utiliser la même configuration que celle placée dans un devis archivé.;Hinweis: Das Kopieren und Überarbeiten von archivierten Angeboten kann zu Fehlkonfigurationen führen. Verwenden Sie den Konfigurationscode, wenn Sie dieselbe Konfiguration verwenden möchten, die im Angebotsarchiv eingeordnet wurde.Drücken Sie zum Aktivieren der Screenreader-Unterstützung Ctrl+Alt+Z. Drücken Sie Ctrl+Schrägstrich, um weitere Informationen zu Tastenkombinationen zu erhalten.;Obs: kopiering och revidering av arkiverade offerter kan leda till att konfigurationen inte längre fungerar. Använd konfigurationskoden om du vill behålla samma konfiguration som finns i en arkiverad offert.;Uwaga: kopiowanie i poprawianie zarchiwizowanych ofert może spowodować uszkodzenie konfiguracji. Użyj kodu konfiguracji, jeśli chcesz użyć tej samej konfiguracji, która jest umieszczona w zarchiwizowanej ofercie.;Merk: Kopiering og revidering av arkiverte tilbud kan føre til ødelagte konfigurasjoner. Bruk konfigurasjonskoden hvis du vil bruke den samme konfigurasjonen som finnes i et arkivert tilbud.;Nota: copiar y revisar cotizaciones archivadas puede causar configuraciones rotas. Utilice el código de configuración si desea utilizar la misma configuración que se coloca en una cotización archivada.;Nota: copiare e revisionare le citazioni archiviate potrebbe causare configurazioni non funzionanti. Si prega di utilizzare il codice di configurazione se si desidera utilizzare la stessa configurazione presente in una citazione archiviata.;Nota: copiar e revisar cota��es arquivadas pode causar falhas nas configura��es. Por favor, use o c�digo de configura��o se desejar usar a mesma configura��o colocada em uma cota��o arquivada.
Default status for archiving quotations;Standaardstatus voor het archiveren van offertes;Statut par défaut pour les devis archivés;Standardstatus für die Archivierung von Angeboten;Standardstatus vid arkivering av offerter.;Domyślny status archiwizacji ofert;Standard status for arkivering av tilbud;Estado predeterminado para archivar cotizaciones;Stato predefinito per l'archiviazione delle citazioni;Status padr�o para arquivamento de cota��es
Default status for revised quotations;Standaardstatus voor herziene offertes;Statut par défaut pour les devis révisés;Standardstatus für überarbeitete Angebote;Standardstatus vid revidering av offerter.;Stan domyślny dla poprawionych ofert;Standard status for reviderte tilbud;Estado predeterminado para cotizaciones revisadas;Stato predefinito per le citazioni revisionate;Status padr�o para cota��es revisadas
Default status for expired quotations;Standaardstatus voor verlopen offertes;Statut par défaut des offres expirées;Standardstatus für abgelaufene Angebote;Standardstatus på förfallna offerter.;Stan domyślny dla wygasłych ofert;Standard status for utlpte tilbud;Estado predeterminado para cotizaciones vencidas;Stato predefinito per le citazioni scadute;Status padr�o para cota��es expiradas
Default CRM account;Standaard CRM-account;Compte CRM par défaut;Standard CRM-Konto;Standard CRM-konto.;Domyślne konto CRM;Standard CRM-konto;Cuenta CRM predeterminada;Account CRM predefinito;Conta CRM padr�o
Select a default CRM that is automatically set in the quotation as the seller field.;Selecteer een standaard-CRM die automatisch in de offerte wordt ingesteld als verkoper.;Sélectionnez un CRM par défaut qui est automatiquement défini dans les devis comme champ du vendeur.;Wählen Sie ein Standard-CRM, das im Angebot automatisch als Verkäufer eingeordnet wird.;Välj ett standard CRM som automatiskt ställs in som säljare i offerten.;Wybierz domyślny CRM, który jest automatycznie ustawiany w ofercie jako pole sprzedawcy.;Velg en standard CRM som automatisk angis som selgerfelt i tilbudet.;Seleccione un CRM predeterminado que se establezca automáticamente en la cotización como el campo del vendedor.;Seleziona un CRM predefinito che verrà automaticamente impostato nella citazione come campo del venditore.;Selecione um CRM padr�o que seja definido automaticamente na cota��o como campo do vendedor.
Hide total quotation discount field;Verberg totale offertekorting veld;Masquer le champ de remise totale de l'devis;Blende Schirmfeld des Gesamtangebotsrabatt aus;Dölj totalrabattfältet i offerten.;Ukryj pole rabatu dla oferty;Skjul feltet for den totalrabatten i tilbudet;Ocultar campo de descuento de cotización total;Nascondi campo sconto totale della citazione;Ocultar campo de desconto total da cota��o
